adipose_subq
adipose_visceral
adrenal
artery_aorta
artery_coronary
artery_tibial
bladder
brain_cerebellum
brain_cortex
breast
cervix_ecto
cervix_endo
colon_sigmoid
colon_transverse
eso_gej
eso_mucosa
eso_muscularis
fallopian
heart_atrial
heart_ventricle
ileum
kidney_cortex
kidney_medulla
liver
lung
muscle
nerve_tibial
ovary
pancreas
pituitary
prostate
salivary_minor
skin_not_sun
skin_sun
spleen
stomach
testis
thyroid
uterus
vagina
